id,date,year,semester,era,kind,sentiment,sentiment_label,emoji,tone_intensity,primary_topic_label,topic_tag_labels,entities,target_short,sender_short,snippet,text_full
1,1991-08-26,1991,Fall,1991–1999,DART,-1,dart / criticism,🎯,0.37,"Campus edge, construction & expansion","Police, public safety & city services | Campus edge, construction & expansion",Campus Police / Public Safety,whoever,,Our first official dart is tossed at whoever decided to move campus police off campus. And what's wllh that new name ... Public Safety Office? What the hell Is that?,Our first official dart is tossed at whoever decided to move campus police off campus. And what's wllh that new name ... Public Safety Office? What the hell Is that?
43,1991-09-19,1991,Fall,1991–1999,DART,-1,dart / criticism,🎯,0.38,"Weather, environment & infrastructure","Police, public safety & city services | Community service & mutual aid | Weather, environment & infrastructure",Harrisonburg | City of Harrisonburg,the unbearably hot weather,,"A sweaty, drippy dart goes to the unbearably hot weather we've been having lately. Why do Harrisonburg City kids get out early because of heat and we don't? The forecast calls for…","A sweaty, drippy dart goes to the unbearably hot weather we've been having lately. Why do Harrisonburg City kids get out early because of heat and we don't? The forecast calls for cooler temperatures, but of course we can expect cloudy skies and rain as well. Maybe Mother Nature is preparing us for another unpredictable winter."
69,1991-10-07,1991,Fall,1991–1999,PAT,1,pat / praise,👏,0.5,Local businesses & restaurants,"Local businesses & restaurants | Campus edge, construction & expansion | Civic identity, media & reputation | Weather, environment & infrastructure",JMU,all community businesses,,"A cool pat to all community businesses, such as Chevron and Food-Mart, for honoring JMU's EARTH mug and R-mug. We're happy to pat those JMU students who really are using their mug…","A cool pat to all community businesses, such as Chevron and Food-Mart, for honoring JMU's EARTH mug and R-mug. We're happy to pat those JMU students who really are using their mugs on and off campus. We can save the world! Well, at least it's a good start."
101,1991-10-24,1991,Fall,1991–1999,DART,-1,dart / criticism,🎯,0.46,"Streets, traffic & pedestrian safety","Streets, traffic & pedestrian safety | Police, public safety & city services | Campus edge, construction & expansion",Harrisonburg | Main Street | Campus Police / Public Safety,"rude, speeding drivers",a mass communication major,"Excuse me, but last I checked, pedestrians had the right of way, Harrisonburg rush hour or not. Most of the time, actually crossing Main Street to get to Anthony-Seeger means fina…","Excuse me, but last I checked, pedestrians had the right of way, Harrisonburg rush hour or not. Most of the time, actually crossing Main Street to get to Anthony-Seeger means finally getting so fed up with the rude, speeding drivers that seem to infest our roadways that we just jump in front of them, risking life and limb to combat their complete ignorance of Driver's Ed. 101. After all, what's a lost leg when you're already late for your ethics exam? Sent in by a mass communication major with no patience and very close to no legs. But campus police are doing something to keep our legs attached - for more, see page 3."
120,1991-11-07,1991,Fall,1991–1999,PAT,1,pat / praise,👏,0.42,Community service & mutual aid,Local businesses & restaurants | Community service & mutual aid,JMU | Valley Mall,the public-spirited members,a grateful dad,A candy-coated pat to the public-spirited members of the JMU cheerleaders and the men's and women's basketball teams who delayed their holiday to help kids celebrate Halloween at…,A candy-coated pat to the public-spirited members of the JMU cheerleaders and the men's and women's basketball teams who delayed their holiday to help kids celebrate Halloween at Valley Mall. Sent in by a grateful dad.
125,1991-11-11,1991,Fall,1991–1999,DART,-1,dart / criticism,🎯,0.38,"Streets, traffic & pedestrian safety","Streets, traffic & pedestrian safety",Main Street,the Main Street crossing guards,,"This may be a crazy thought, but are the Main Street crossing guards really meeting their long-term goals? Not only does their schedule seem pretty inconsistent, they aren't doing…","This may be a crazy thought, but are the Main Street crossing guards really meeting their long-term goals? Not only does their schedule seem pretty inconsistent, they aren't doing anything we couldn't do by sticking our hands out. And they don't even get to wear safety orange."
131,1991-11-14,1991,Fall,1991–1999,DART,-1,dart / criticism,🎯,0.36,"Housing, landlords & apartment life","Housing, landlords & apartment life",Madison Manor,whoever,,To whoever threw away the recyclable items that residents had collected over the past few weeks at Madison Manor Apartments.,To whoever threw away the recyclable items that residents had collected over the past few weeks at Madison Manor Apartments.
175,1992-01-16,1992,Spring,1991–1999,DART,-1,dart / criticism,🎯,0.41,"Streets, traffic & pedestrian safety","Streets, traffic & pedestrian safety | Campus edge, construction & expansion | Civic identity, media & reputation",,all the local train engineers,,"An incosiderate dart to all the local train engineers who decide to check the reverse gears on their engines while blocking the railroad crossing behind Anthony-Seeger. Actually,…","An incosiderate dart to all the local train engineers who decide to check the reverse gears on their engines while blocking the railroad crossing behind Anthony-Seeger. Actually, we know it's necessary for taking care of train ""things,"" but seeing an engineer with his head out the window, looking backwards and saying ""wheeee"" is enough to make anyone snap while waiting to cross."
191,1992-01-27,1992,Spring,1991–1999,DART,-1,dart / criticism,🎯,0.49,"Police, public safety & city services","Streets, traffic & pedestrian safety | Parking, towing & cars | Police, public safety & city services | Weather, environment & infrastructure",Harrisonburg | City of Harrisonburg,the City of Harrisonburg,,"But a slacker dart to the city of Harrisonburg for taking so long to get the snow plows out! Cars were sliding all over the road, people were stranded and pissed off!","But a slacker dart to the city of Harrisonburg for taking so long to get the snow plows out! Cars were sliding all over the road, people were stranded and pissed off!"
205,1992-02-03,1992,Spring,1991–1999,DART,-1,dart / criticism,🎯,0.38,"Neighbors, parties & student behavior","Neighbors, parties & student behavior | Campus edge, construction & expansion",,all the meatheads,someone,"A brain-dead dart to all the meatheads who stand their big burly selves at the door of an off-campus party and assault newcomers with the words, ""You got a buck?"" Sent in by someo…","A brain-dead dart to all the meatheads who stand their big burly selves at the door of an off-campus party and assault newcomers with the words, ""You got a buck?"" Sent in by someone who wanted no beer but was still verbally attacked by some thug with a single-digit IQ."
